Site,Diam,Occupant
BAR,11,Early Larval Death
BAR,12,E. gigantea
BAR,13,Eurosta
BAR,13,Early Larval Death
BAR,13,Early Larval Death
BAR,15,E. gigantea
BAR,15,E. gigantea
BAR,15,Early Larval Death
BAR,16,E. gigantea
BAR,16,M. convicta
BAR,16,M. convicta
BAR,16,Unknown
BAR,17,E. gigantea
BAR,17,E. gigantea
BAR,17,Early Larval Death
BAR,17,Early Larval Death
BAR,17,Early Larval Death
BAR,17,Early Larval Death
BAR,17,Early Larval Death
BAR,17,Early Larval Death
BAR,17,Unknown
BAR,18,Eurosta
BAR,18,Eurosta
BAR,18,Eurosta
BAR,18,E. gigantea
BAR,18,E. gigantea
BAR,18,E. gigantea
BAR,18,E. gigantea
BAR,18,M. convicta
BAR,18,M. convicta
BAR,18,Early Larval Death
BAR,18,Early Larval Death
BAR,18,Early Larval Death
BAR,18,Early Larval Death
BAR,19,Eurosta
BAR,19,Eurosta
BAR,19,Eurosta
BAR,19,Eurosta
BAR,19,E. gigantea
BAR,19,E. gigantea
BAR,19,M. convicta
BAR,19,Woodpecker
BAR,19,Early Larval Death
BAR,19,Early Larval Death
BAR,19,Early Larval Death
BAR,19,Early Larval Death
BAR,20,Eurosta
BAR,20,Eurosta
BAR,20,E. gigantea
BAR,20,E. gigantea
BAR,20,E. gigantea
BAR,20,E. gigantea
BAR,20,E. gigantea
BAR,20,E. obstusiventris
BAR,20,E. obstusiventris
BAR,20,M. convicta
BAR,20,M. convicta
BAR,20,M. convicta
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,20,Early Larval Death
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,Eurosta
BAR,21,E. gigantea
BAR,21,E. gigantea
BAR,21,E. gigantea
BAR,21,E. gigantea
BAR,21,E. obstusiventris
BAR,21,E. obstusiventris
BAR,21,M. convicta
BAR,21,M. convicta
BAR,21,M. convicta
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Early Larval Death
BAR,21,Unknown
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,Eurosta
BAR,22,E. obstusiventris
BAR,22,E. obstusiventris
BAR,22,E. obstusiventris
BAR,22,M. convicta
BAR,22,M. convicta
BAR,22,Early Larval Death
BAR,22,Early Larval Death
BAR,22,Unknown
BAR,22,Unknown
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,Eurosta
BAR,23,E. obstusiventris
BAR,23,E. obstusiventris
BAR,23,E. obstusiventris
BAR,23,E. obstusiventris
BAR,23,M. convicta
BAR,23,M. convicta
BAR,23,M. convicta
BAR,23,M. convicta
BAR,23,M. convicta
BAR,23,M. convicta
BAR,23,Woodpecker
BAR,23,Woodpecker
BAR,23,Early Larval Death
BAR,23,Early Larval Death
BAR,23,Early Larval Death
BAR,23,Early Larval Death
BAR,23,Early Larval Death
BAR,23,Early Larval Death
BAR,23,Early Larval Death
BAR,23,Unknown
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,M. convicta
BAR,24,M. convicta
BAR,24,M. convicta
BAR,24,Woodpecker
BAR,24,Woodpecker
BAR,24,Woodpecker
BAR,24,Woodpecker
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Chickadee
BAR,25,Early Larval Death
BAR,25,Early Larval Death
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,M. convicta
BAR,26,Early Larval Death
BAR,26,Early Larval Death
BAR,26,Early Larval Death
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Woodpecker
BAR,27,Chickadee
BAR,27,Early Larval Death
BAR,27,Early Larval Death
BAR,27,Early Larval Death
BAR,28,Eurosta
BAR,28,Eurosta
BAR,28,Eurosta
BAR,28,Eurosta
BAR,28,M. convicta
BAR,29,M. convicta
BAR,31,M. convicta